No.,チームNo.,ユニット,会社名,自主点検対象,構成単位,会社管理番号,使用言語,進捗管理フラグ
143,チーム5,グローバル戦略推進本部,"Inoueki (Thailand) Co., Ltd. ",○,○,170104,EN,○
144,チーム5,グローバル戦略推進本部,台井科技股?有限公司,,,170105,EN,
145,チーム5,グローバル戦略推進本部,?口阿部配?有限公司,,,170106,EN,
146,チーム5,グローバル戦略推進本部,AIR WATER MATERIALS VIETNAM COMPANY LIMITED,○,,170107,EN,○
147,チーム5,グローバル戦略推進本部,宏廣新技股?有限公司,○,,170108,EN,○
148,チーム5,グローバル戦略推進本部,サンワマテリアルソリューションズ（株）,,,170109,JP,
149,チーム5,グローバル戦略推進本部,有井国??易（上海）有限公司,,,170110,EN,
150,チーム5,グローバル戦略推進本部,"Gold Kogyo Laguna Philippines, Inc. ",,,170111,EN,
151,チーム5,グローバル戦略推進本部,Inotec International Singapore Pte. Ltd.,,,170112,EN,
152,チーム5,グローバル戦略推進本部,"Gold Kogyo (Thailand) Co., Ltd. ",,,170113,EN,
153,チーム5,グローバル戦略推進本部,"Sun-up Recycling Co., Ltd. ",,,170114,EN,
154,チーム6,防災ユニット,エア・ウォーター防災(株),○,○,90100,JP,○
155,チーム6,防災ユニット,オリオン・ラドセーフメディカル(株),○,○,90200,JP,○
156,チーム6,防災ユニット,Globalwide International Pte. Ltd.,○,○,90300,EN,○
157,チーム6,防災ユニット,Globalwide M&E Pte. Ltd.,○,,90400,EN,○
158,チーム6,防災ユニット,西部特機工業(株),○,,90101,JP,○
159,チーム7,アグリユニット,(株)AWジェイド,○,,120201,JP,○
160,チーム7,アグリユニット,(株)エア・ウォーター農園,○,○,120500,JP,○
161,チーム7,アグリユニット,(株)ブイエム,,,120800,JP,
162,チーム7,アグリユニット,(株)プラス,○,○,120600,JP,○
163,チーム7,アグリユニット,(株)まるよし,○,,120900,JP,○
164,チーム7,アグリユニット,(株)九州屋,○,○,120100,JP,○
165,チーム7,アグリユニット,(株)高谷商店,○,○,120400,JP,○
166,チーム7,アグリユニット,(株)明野九州屋ファーム,○,,120101,JP,○
167,チーム7,アグリユニット,丸進青果(株),○,○,120700,JP,○
168,チーム7,アグリユニット,日農運輸(株),○,,120302,JP,○
169,チーム7,アグリユニット,日農機(株),○,○,120301,JP,○
170,チーム7,アグリユニット,日農機製工(株),○,,120300,JP,○
171,チーム7,アグリユニット,北海道エア・ウォーター・アグリ(株),○,○,120200,JP,○
172,チーム7,アグリユニット,未来食農ソリューションズ(株),,,121000,JP,
